Names,Cases
Steinburg,[2, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Stormarn,[1, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Hamburg,[196, '15/03/2020 17:00', 'https://www.hamburg.de/coronavirus/pressemeldungen/13721208/2020-03-15-bgv-coronavirus-aktuell/']
Ammerland,[7, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Aurich,[9, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Celle,[8, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Cloppenburg,[2, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Cuxhaven,[5, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Diepholz,[19, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Emsland,[9, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Friesland,[2, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Gifhorn,[7, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Goslar,[7, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Göttingen,[3, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Grafschaft Bentheim,[5, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Hameln-Pyrmont,[3, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Harburg,[11, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Heidekreis,[1, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Helmstedt,[2, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Hildesheim,[10, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Holzminden,[2, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Leer,[1, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Lüneburg,[1, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Nienburg (Weser),[2, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Northeim,[4, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Oldenburg,[15, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Osnabrück,[1, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Osterholz,[13, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Peine,[2, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Rotenburg (Wümme),[11, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Schaumburg,[2, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Stade,[22, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Uelzen,[1, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Vechta,[3, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Verden,[10, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Wittmund,[1, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Region Hannover,[59, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Braunschweig,[5, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Delmenhorst,[5, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Emden,[3, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Salzgitter,[2, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Wilhelmshaven,[3, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Wolfsburg,[3, '15/03/2020 15:00', 'https://www.niedersachsen.de/coronavirus']
Bremen,[45, '14/03/2020 23:59', 'https://www.ndr.de/nachrichten/info/Coronavirus-Ticker-Die-Lage-in-Norddeutschland,coronaliveticker134.html']
Bremerhaven,[8, '14/03/2020 23:59', 'https://www.ndr.de/nachrichten/info/Coronavirus-Ticker-Die-Lage-in-Norddeutschland,coronaliveticker134.html']
Rostock Stadt,[6, '14/03/2020 23:59', 'https://www.ndr.de/nachrichten/info/Coronavirus-Ticker-Die-Lage-in-Norddeutschland,coronaliveticker130.html (view-source:https://datawrapper.dwcdn.net/El2Ke/31/)']
Schwerin,[7, '14/03/2020 23:59', 'https://www.ndr.de/nachrichten/info/Coronavirus-Ticker-Die-Lage-in-Norddeutschland,coronaliveticker130.html (view-source:https://datawrapper.dwcdn.net/El2Ke/31/)']
Mecklenburgische Seenplatte,[7, '14/03/2020 23:59', 'https://www.ndr.de/nachrichten/info/Coronavirus-Ticker-Die-Lage-in-Norddeutschland,coronaliveticker130.html (view-source:https://datawrapper.dwcdn.net/El2Ke/31/)']
Rostock Landkreis,[8, '14/03/2020 23:59', 'https://www.ndr.de/nachrichten/info/Coronavirus-Ticker-Die-Lage-in-Norddeutschland,coronaliveticker130.html (view-source:https://datawrapper.dwcdn.net/El2Ke/31/)']
Vorpommern-Rügen,[4, '14/03/2020 23:59', 'https://www.ndr.de/nachrichten/info/Coronavirus-Ticker-Die-Lage-in-Norddeutschland,coronaliveticker130.html (view-source:https://datawrapper.dwcdn.net/El2Ke/31/)']
Nordwestmecklenburg,[0, '14/03/2020 23:59', 'https://www.ndr.de/nachrichten/info/Coronavirus-Ticker-Die-Lage-in-Norddeutschland,coronaliveticker130.html (view-source:https://datawrapper.dwcdn.net/El2Ke/31/)']
Vorpommern-Greifswald,[4, '14/03/2020 23:59', 'https://www.ndr.de/nachrichten/info/Coronavirus-Ticker-Die-Lage-in-Norddeutschland,coronaliveticker130.html (view-source:https://datawrapper.dwcdn.net/El2Ke/31/)']
Ludwigslust-Parchim,[1, '14/03/2020 23:59', 'https://www.ndr.de/nachrichten/info/Coronavirus-Ticker-Die-Lage-in-Norddeutschland,coronaliveticker130.html (view-source:https://datawrapper.dwcdn.net/El2Ke/31/)']
Amberg Stadt,[1, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Amberg-Sulzbach,[7, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Aschaffenburg,[3, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Aschaffenburg Stadt,[6, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Augsburg,[25, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Augsburg Stadt,[6, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Bad Kissingen,[3, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Bad Tölz-Wolfratshausen,[10, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Bamberg,[7, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Bamberg Stadt,[1, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Bayreuth,[5, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Cham,[21, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Coburg,[3, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Deggendorf,[1, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Dingolfing-Landau,[13, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Donau-Ries,[3, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Ebersberg,[21, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Eichstätt,[2, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Erding,[11, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Erlangen Stadt,[6, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Erlangen-Höchstadt,[10, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Forchheim,[4, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Freising,[74, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Fürstenfeldbruck,[18, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Fürth,[3, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Fürth Stadt,[8, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Haßberge,[6, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Hof,[3, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Hof Stadt,[1, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Ingolstadt Stadt,[1, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Kaufbeuren Stadt,[1, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Kelheim,[3, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Kitzingen,[3, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Kronach,[2, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Landsberg am Lech,[4, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Landshut,[8, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Landshut Stadt,[4, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Lindau (Bodensee),[12, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Main-Spessart,[5, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Memmingen Stadt,[1, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Miesbach,[15, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Miltenberg,[4, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
München,[38, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
München Stadt,[187, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Neu-Ulm,[10, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Neumarkt i.d. OPf.,[5, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Neustadt a.d. Aisch-Bad Windsheim,[4, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Neustadt a.d. Waldnaab,[1, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Nürnberg Stadt,[24, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Nürnberger Land,[2, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Oberallgäu,[24, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Ostallgäu,[10, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Passau,[15, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Passau Stadt,[3, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Pfaffenhofen a.d. Ilm,[7, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Regen,[6, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Regensburg,[8, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
